"","text"
"815","gangguanpadam lapor aplikasi riwat selesai tangani padam tolongkondisi laangan susunguhnya"
"816","ganggumobile malamlangsung rumah menit kirim lapor bantu aplikasi kerja bagus terimakasihtingkat ayan mogapandemi gantibutuh kitar"
"817","ganggumobile tugas listrik mati aplikasi status selesai sala"
"818","ganguan sistem sinyal baguskalo launchingjalur aplikasikonsumsi nasabah"
"819","ganti nomor handphone muncul terang nomor telepon daftar rumit akun aplikasi bintang kalo penanganan terimakasihmobile"
"820","garcep"
"821","geratis hoax"
"822","good"
"823","good aplikasi bantu bayar terimakasih"
"824","good fast respon thanks"
"825","good jobsberik masyarakat terang neger"
"826","good promo daya real thanksumkm melesat maju"
"827","good ramah cepat tindak skill mumpuni mantapppp"
"828","good sihbru cobakeluh listrik lumayan gercepsmoga kayak"
"829","goodgood aplication responsifkarya puas langgan prioritas utama"
"830","goodjob tanggap"
"831","grafik pemakaian hilang fitur bantu lihat pemakaian"
"832","gratis bayar lumayan mahal rumah pemakaiangratis bayarcoba jujur"
"833","habis update jafi eror"
"834","habis update masuk"
"835","habs downloadcepat tertangani nyata tunggukasih bintang"
"836","hadehpakaibuah tanggap layan bisnis"
"837","hallooanehkalo totalin tagih biayatotalkali lipat"
"838","halo beli tokenbayarlink beli ggal saldo refund"
"839","halo kakak melpor lstrikpulsacepat proses listrik mati"
"840","haloaplikasi bantu sekalisaran daya beli token listrik nilaidongbeli token ribu terima kasih hati"
"841","halomaafsalah menginput stand meter"
"842","halomohonulang baharu kolom npwp menu dayaterima kasih salam"
"843","haloo update aktifin bayar linkaja terang nomor daftar sila masuk nomor tolong bintang"
"844","halopasangkabeltiang besi batang total biaya penawaran biayabiaya"
"845","hancur parah ayan jelek lelet"
"846","hapus akun daftarmobile nohp update profil kalobisa terintregasi emailloginterima kasih"
"847","hapuslanggan rekam aplikasi tampunglanggan gantilanggan pantau bayar terima kasih admin"
"848","harap cepat ayan madam listrik terimakasih"
"849","harap hati tugas lapang kalo selesai cobaganggu bikini status selesai"
"850","harap tindakmuat aplikasi nyata lapang tulis lihat hasil nyata selesai apaapa"
"851","harapane mudah diakseskenyataanya lapor ganggu gagallaporan dibuatkalau lapor otomatis penanganan ganggu terlaksanasemetara butuh ayan cepat akses mudahpln mobile solusi bikin frustasi"
"852","harga mahalkwitasi uang huuuuu"
"853","hasil bayar"
"854","hasil upload upgrade akun tolak kali terima kasih mohon bantu"
"855","hatur nuhun"
"856","haudeh pesan token banget prosesstunggu selsai costumer plnnya tanggap"
"857","hemat mudah"
"858","henti"
"859","heran chatsusah bolak buka sekak responnya banget suruh pindah pakaimobile aplikasi jelek banget"
"860","histori muncul muncul bentar hilang mengupdate layan full service"
"861","histori tampil tagih update"
"862","historilangsung otomatis cobapulsahistori pemblian pulsalangsung lodingmohon"
"863","history bayar"
"864","history pemakaiannya biaya mending"
"865","history riwayat pmbelian token muncul login masuk susah banget gmpang diupdate"
"866","hngtujrzuaplikasi"
"867","hobymati listrik malamwaduh gawe ngunduh mantu mati lampu malamenak tidur lampu matikantapitelat bayarnagihnya kayak orang hutang miliar ajaharus komplain jangkau nyusahkan masyarakathampirdaerah padam malam padam jamtolong tingkat kualitas"
"868","hubung call centerpulsa"
"869","hubung kantorsuruh bikin lapor website ribet banget cekat"
"870","hubung server coba ulang kasih bintang entar kalo kasihmaaf"
"871","hujan angin layan wajarganggu tugas ramah terimakasih layananan batas"
"872","hujan malam tugas rumah antri gppkita bantu terima kasihgrobogan"
"873","iklan suai nyata mudahhny slogan nyata ribetgiliran bayar telat gilir keluh susah ampun maaf kecewa aplikasi"
"874","improvisasi versi"
"875","info aplikasi nyata beda"
"876","info diskon"
"877","info keluherror rumah mahribsiang listrilpemberitahuan telfon zonk pakaimobile zonk"
"878","info tagih pascabayar detail info pemakaian langsung tagih rupiah tolong informatif terima kasih"
"879","info ubah daya"
"880","info update nomor langgan salahtoken salah nech harga aplikasi belieditmeter langgan updrade akun proses"
"881","informasi"
"882","informasi berik suai fakta lapang mohon komitmen informasi berik bohong publik berik"
"883","informasi cepat terima terima kasih"
"884","informasi tagih informasi bayar aplikasi khusus pasca bayar bayar aplikasi"
"885","informasi tunggak lihat lihat rumah kontrak sayatokennyangontraktokennya listrik mati"
"886","informatif lihat account profilemasuk history beli pulsa electric tampil konsumsi listrik bulananmingguanbahkan kontrol pemakaian listrik program berik insentifreward konsumen turun konsumsi listrikmisalnya turun berturutturut banding konsumsi ratarata"
"887","input ajuk keluh muncul pesanstateno element"
"888","input datalanggan temu pakailapor keluh pitam"
"889","install langsung daftarkolom daftar klik tombol daftarpasswordsuai atur gabung huruf huruf angka karakter spesial tombol daftar klik"
"890","installecek saldo token meter bulak lihat aplikasifungsi sekal lihat sisa saldo tokenmohon"
"891","installihat ulaskomentar positif mogabantu terimah kasih"
"892","installlapor kantor ayan suruh pulang lakulaporayan tindak tugaslapor pagi sore tindak lapor harap tugastanggap merespon cepatajuk"
"893","instaninovasi berik ayan lupa amanah"
"894","insya allah"
"895","invoice billing terima aplikasimobile sedia menu invoice billing orang lihat"
"896","invoice lengkap update masuk pakai lupa password masuk rubah full servis fiturriwayat pemakaian tanggal bayarlunas versi overall bagus"
"897","istimewa sigap cepat thanks"
"898","izin kalo listrikmaximal"
"899","jaga amanahapapun konsekuensinyakarena konsumen denda telat bayar lupa uangdlltp madammitigasi resiko konsumen"
"900","jalan lemot fitur tarik metode bayar beli token batas mending ecommerce bayar pakai kartu kredit promo cashback maklumkelas kebawahhahaha moga bebenah sukses"
"901","januari pulsa"
"902","jaring intertet lemah"
"903","jaring putus hubung live chat"
"904","jawa kantorkalo pasangmobile download nyata provinsi jawa timur baca ulas jawa timur pasang pakai aplikasi info kantorkalojateng kantor dsruh dftraplikasi"
"905","jelek"
"906","jelek aplikasifoto selfie foto bagusrekamgelap situs plnnya plncoid daftar kode verifikasi mulu direfresh kali kalidigital aplikasi downgrade"
"907","jelek bintangkasih bintang aplikasi tanggap sekal lapor ganggu"
"908","jelek errornya live chat muncul error servernya malas malesan"
"909","jelek sekal ayan langgan"
"910","josss"
"911","kacau parah aplikasi beli proses mulu selesaiselesai diskon kalo aplikasieror kayak"
"912","kacautoken listrik tokennya saldo link potongteman transaksi"
"913","kadang ganggu slesai aplikasi sudahbdi nayatakan nyala slesai fakta ganggu"
"914","kakak masuk"
"915","kali aaannnjiim banget"
"916","kali ajuktindak plnpdhl riwayatproses selesai"
"917","kali aplikasi riwayatterang selesai kerja nyata tugas rumah telfonkali tugas tulis ulas hitungtunggu tugas mohontingkat ayan customer nyaman listrik sekal"
"918","kali coba aplikasieror meter fastrespon sekal kantor rumah klik aplikasimobile langsung direspontugas langsung ganti meter bantu aplikasi trimakasih"
"919","kali dtanggapi bolak"
"920","kali gagaljangka lumayan selang update aplikasi update aplikasi akun deteksiulang paswsalah mesti ganti pasw"
"921","kali ihklas banget bantu rakyat kalo kasih gratis ikhlas dikit alascari untung herannegara makmur dewasa bingung link support"
"922","kali instal cobalistrik padam kaliselesai penanganan sekal aplikasi"
"923","kali lapor kali status sala padam kurunayan"
"924","kali laporkirimhasilmohon maaf lapor brlum sila coba aplikasi"
"925","kali pakaihasil muas joossstegaltegal pelayananya senangpakaicepat praktis gratis pakaitandany listrikhehehe"
"926","kali prosedur atur sedia aplikasi milik bumn"
"927","kali suruh tunggu regu aplikasi riwayatkerja selesai mohon singkronkan mohon nyaman langgan prioriyaskn"
"928","kali verifikasi jujur layantooolaaaaaaakkkk terussuaaak"
"929","kalikantorlapor aplikasi kali lapor aplikasi tindak telepon kali riwayat terang dtangani selesai realdatangfu lapor solusi"
"930","kalipadam lampu"
"931","kalistatus riwayatselesai matimohon maaf aplikasi yasoalnyakali"
"932","kalitagih muncul idpl blokir terussssssssss"
"933","kalo bagus bintang"
"934","kalo dftr liatrik subsidi kluarnya"
"935","kalo kirimlangsung kirim keluh"
"936","kalopemasangan jawa timur pdahala jawa"
"937","kampung haur spaneng"
"938","kasih aplikasi bantu"
"939","kasih bintang"
"940","kasih bintang ayan lumayan muas moga bantu"
"941","kasih bintang ayanganguanbaikambil sisi mugkin telat ganguan ganguan rumahmugkin aplikasi stabil kinerjaganguankasih bintang konsumen sabarjgn komen kasihanganguankena imbas komen negatif kalianhargai masyarakat besarmakasihganguan pantang plng terang"
"942","kasih bintang bgtditunggu tolong listrik"
"943","kasih bintang cepat layan"
"944","kasih bintang custumer turun daya desember gubris"
"945","kasih bintang dulusemoga aplikasi cerita tagih listrik prabayarkali lipat pemakaian alat listrik"
"946","kasih bintang full biar ayan seriussudahdata upgradeproses doang tulisannyatpi kerjain"
"947","kasih bintang kalo direspon tambahminrincian pemakaian listrikcoba masuk aplikasi verifikasi"
"948","kasih bintang mohon cancelawalnya claim voucher salah tolong bantu ubah mohon cancelnya"
"949","kasih bintang token beli tanggal gagal masuk hubungwilayah kasih kode token baris masuk suruh beli token laksana masuk token masuk gagal gagal masuk tanggungganti rugi ribu kampung suruh mengiklaskan iklas rugi langgan"
"950","kasih bintang walopun aplikasi bantu laporkali tindak sekal malam listrik padamjamjam info tindaktelp tindak malam kasih saran rakyat bayar"
"951","kasih bintang ykrna downlodjadimasuk menggunakannyasekarang token gratis pemerintah sulithrs mendownload aplikasimobilebiasanya pakaibisaknpsulit banget"
"952","kasih bintangaktif bayar linkaja aktif bayar pakai linkaja aktif nomor daftar coba ganti nomor mohon bantu"
"953","kasih bintangapkini"
"954","kasih bintangerrornya"
"955","kasih bintanglambat"
"956","kasih bintangmasuk ayan pasang masuk daerah propinsinya muncul pilih propinsi"
"957","kasih bintangterimakasih kunjung harapulang aplikasi"
"958","kasih bitang dulukarena akunmobie ternyatraa aplikasimobile tampil sisatoken listrik meter"
"959","kasih diskon beli token lihat usaha sebelah kasih poin transaksi aplikasi wkwkwkwkw"
"960","kasih fitur notifikasipemberitahuan madam aplikasi keren notifikasi madam madam langgan antisipasi madam contoh meeting zoom listrik batrai handphone tinggal paksa left zoom habis batrai"
"961","kasih keluh langsung tanggulang call centernya terima kasih"
"962","kasih lanjur download"
"963","kasih moga tanggap sukses trimakasih"
"964","kasih nilai aplikasi keren"
"965","kasih rating aplikasimobilelengkap timbul nama propinsimohon pasang sulit nenggunakan aplikasi"
"966","kasih star saran selesai mohon biar konsumen konfirmasiaplikasi selesaiberes"
"967","katnya cepat pakai aplikasi laporpagi sampisiang progres mundur ayan ayan publikcustomer utama"
"968","kayak aplikasi upgrade sebelmnya transakasi bayar lihat bayarsebelmnya"
"969","kecewa"
"970","kecewa aplikasi errorlogin tlong"
"971","kecewa aplikasi lihat riwayat bayar"
"972","kecewa aplikasi lokasi pemilahan unitdisuruh hubung"
"973","kecewa chat costumer servis tolong kilometer erorburik"
"974","kecewa desa tegang listrik anjlok miteran meter operlod miteran lampu"
"975","kecewa harga pelangganoleh manager kharisma angkasa rayatugaskendala ganggu lupa sampa mohon maaf hebat"
"976","kecewa lapor tanggapkait lapor"
"977","kecewa layan plnkwhtoken lapor kantor tanganisaya lapor jumat tugassangatkecewa"
"978","kecewa madam buka puasa imsak nyalareapon telepon lapor moga keluarga berik sehat sabar"
"979","kecewa teknisi listrik harga suai mahal"
"980","kecewainfo rincian nyala kenyataanya"
"981","kecewalayan orangmeter ambil tugaskabar pindah izin kena denda bayar denda tugas minggu tunggu kantorkali suruh tunggu tlpon kalimuncul"
"982","kekmnameter boros kali banding meter tetangga pemakaian ngisikali tetangga ngisi kali kayak solo single tolong bantu"
"983","kelas bumn receh beli aplikasi vendor profesional beres"
"984","keluh"
"985","keluh hubung listrik alih pnyampaiannomorgratis bayarmahal tunggu bebrapa pulsa ribu nelpn cuman menit doang sumph lucu"
"986","keluh tinggal telephone langsung tugasmantap"
"987","keluhanmya meter eror susahg klik send"
"988","keluhtangani ayan unitwilayah imogiri"
"989","kemarin alirrumah nyala listrik tetangga nyala"
"990","kemarin daftar masuk"
"991","kemarin ganggurusak selesai pakaiselesai terima kasih"
"992","kemarin riwayat bayar diagram garishilanga kesuliatanhistori nominal bayar kemarin tolong benah"
"993","kembaliin uang beli token proses kemarin proses lemot bangetsesal beli token listrik aplikasimobile kasihkali solusi sekal"
"994","kembang"
"995","kembang aplikasi masuk sistem bayar mudah langgan kerja bankalfa groupindo groupmudah langgan riwayat catattugas catat kalo nilai direspon ubah bintang"
"996","kenal stafdetail lapor plus login ribet banget sayang solusitemu lapor kantorlangsung tolongberik tanggap solusi informatif suai keluh langgan layanbanget laporsianglangsung tindaklistrik beres"
"997","kenapah buka sayah donlot aplikasinyah buka kakak"
"998","kendala meter tunggu penggatian pasangterealisasi tugaslistrik takut langgan bayarngejendol"
"999","kenpa susah login ganggu minggu masuk aneh"
"1000","keren"
"1001","keren aplikasi menit lapor selesai tindak"
"1002","keren aplikasi mudahmobile"
"1003","keren biaya admin kalo beli token listrik coba fiturmoga bagus"
"1004","kerja cepat bagus"
"1005","kerja cepat tugas ramahterima kasih tugas"
"1006","kerja toko surya jaya agung"
"1007","kerjasusah risi"
"1008","keywordmunculmeter"
"1009","kilometer listik rumah kena bnjir dudalam kilo metertolong dicectakut bahaya"
"1010","kilometer tulis periksa daya listrik padam sendriri mohon bantuanya kayak"
"1011","kinerja lambat tugas tanggap lapor kait"
"1012","kiraiin canggih lihat pemakaian listrik abis"
"1013","kirim lapor listrik padam kali riwayat terang ditanganinyala lapor selesai nyata listrik nyala langsung telp call center langsung ditangani ditelpganti rating ganti"
"1014","kirimtindak tugas lapang tugaskecewa ayan terima kasih"
"1015","klaim"
"1016","klaim diskon transaksi hasil tokennya"
"1017","klaim stimulasi covid muncul listrik gratis muncul sbelumnya desemberhoax mhon pnjlasannya"
"1018","klar mslahny"
"1019","klarifikasi aplikasi mengakomodir butuh butuh bantu tugasmiskom fitur terima kasih"
"1020","klik pasang pilih provinsi langsung jawa timur melulu lokasi jawabaratkelasbumnabal"
"1021","klikmuncul jenis ganggu"
"1022","knapa indak potoupgrade akun enak aplikasi"
"1023","knapa masuk email passwordnya"
"1024","knapameter listrik vsetiap pakai turun colokin turun"
"1025","kobgia pasang pilih provinsi jawa timurbandar lampung"
"1026","kode token stimulasi januari cuman desember"
"1027","komensemia jadiya dunia"
"1028","komplain langsung proses terimakasih moga tugas sehatafiat maaf sekedar minum"
"1029","komplain tiang listrik beton pasang selesa"
"1030","komplainpagimobile tindak plnstatus riwayat selesai tindak lapang telepon tugas"
"1031","komplenrespon cepat tugas langsung good sekal moga amanah"
"1032","komplet"
"1033","komplit riwayat aplikasi pemberitahuan kenameter dinayar sedia komunikasi listrik toko"
"1034","konfirmasiblum tindak riwayat status selesai selesai"
"1035","kovid gagal cobanamtibintamya"
"1036","kreenn"
"1037","laku bayar listrik pascabayar linkaja muncul tagih riwayat aplikasiproses riwayat linkaja hasil lunas bukti lampir gambarmohon solusi bantu"
"1038","laku lapormobilepadam luas moga tanggap"
"1039","laku mohon bayar daya rumah laku mohon bantu"
"1040","laku pemasangan listrik aplikasi menu pemasangan"
"1041","laku perbuhan tarif daya"
"1042","laku transaksi nontifikasi hasil bayar tagih hasil beli token hasil beli token kayak bugmohon diperbaikithanks"
"1043","laku update aplikasi premium akun fitur aplikasi mantap mudah langgan konsultasi aduk keluh putar listrik"
"1044","lakuaplikasi twitter cepat tanggap ujung ujung telpon"
"1045","lakupasuruan tangapanrespontkota"
"1046","lambat"
"1047","lambat menangani lapor pagi malam pagi tugas listrik rumah mati total"
"1048","lambat penanganan ganggu"
"1049","lambat sekal ayan kurg muas"
"1050","lambat sekal responya"
"1051","lampu desa marom camatkabupaten toba sumatera utara penuh arti cahaya lampu arus mohon hatimasyarakat siksapadam masyarakat batas sabar mohon hati serius"
"1052","lampu matikomplenaplikasi direspon"
"1053","lampu nyala status lapor selesai nyalasudah"
"1054","lampu padambenerinya tegorlapang kendala kecuali"
"1055","langgan"
"1056","langgan keyboard muncul"
"1057","langgan prabayar gratis january"
"1058","langgan subsidi"
"1059","langgan temu aneh pakaiwalletlangganconnect nyata salah aplikasi langgan brightbatam nyata langgansero"
"1060","langsung kasik bintangmobile ayan cepat terima kasihmobile"
"1061","langsung tanggap aplikasi terima kasih"
"1062","langsung update histori beli tokenhari kali beli token histori adayg belistrukjadi ngisi meteransudah lapor ganggu proses selesai email diaplikasimemangnya dimanaterpaksa beli token dahdi history update jugakalo tunggu besok besokmati listrikhabis pulsa auto update"
"1063","lapor aplikasi kecewa dalamn lapor kali respon tugas aneh nyala progres lapor trtulis nyala selesai manual admin nyata bohong progres selesai suruh pilih rating berik rating bintang plus deskripsi ulas kecewa kirim"
"1064","lapor aplikasi layarmeter prabayar rumah mati respon"
"1065","lapor aplikasi padam listrikhasil aplikasi tulis nyala selesai nyata nyala listriknyaayolah benarjika nyalatulis nyalaxlapor inidan kenyataannyathx"
"1066","lapor ditindaklanjuti lapang dinyatan selesai hadeeeuuhh tolong tindak mafia pasang listrik wilayah ngawi biaya pasang watt sbsrribu dlapangan biaya ribu lagidah lapor tindakparahhhh"
"1067","lapor field history muncultitik wilayah muncul kotak warnatutuphistory mohon difix terinakasih"
"1068","lapor gagulaporn tangapitrimaksihini memasukn token"
"1069","lapor ganggu chattugas"
"1070","lapor ganggu mudahbeli token byar listrik mudahkirim angka meter mudahtambah daya main mudahtoppaplikasi"
"1071","lapor ganggu ribetsering force close lapor tolong langgan ganggu mahal bayar ayan murah"
"1072","lapor ganggu sespon area hubung kali"
"1073","lapor keluh rusak kali sekal tugas kali lapor hitung menit status ubah nyala tugas daerah kabupaten banjar kalsel"
"1074","lapor keluhriwayatbilang selesai tugas laksana benah mohonkhususpeduli hati langgan"
"1075","lapor keluhselesai ghoib"
"1076","lapor kemarin penanganan mohon tindak"
"1077","lapor lambat direspon"
"1078","lapor listrik daerah tanggap aplikasi beres sekal coba serius"
"1079","lapor listrik padam sirkuit bakar tugas statusselesai mati lampu oakan busuk ikan oada matilapor kali tanggap"
"1080","lapor meter prabayar tulis periksa layan pasword tugas ngisi tunggu tugas"
"1081","lapor salahresponya"
"1082","lapor selesai kerja kondisi lapang listrik padam ayan"
"1083","lapor selesai tindak"
"1084","lapor tanggap aplikasi"
"1085","lapor telfon kitarstatus selesai lampu mati lapormobile kitarnyala kitarstatus selesaimasuk appnya langgan milik tombol akses konfirmasi status nyala nyatalapang beda tombol rating ulas fungsi tingkat ayan kualitas"
"1086","lapor tertangani cepat tatap respontugas recovery listrik nyala mantapbumn indonesia"
"1087","lapor tindaktulis selesai sala padam"
"1088","laporanpengaduan gagal megulangi"
"1089","laporkali kaliditanganilaporan pakai aplikasi keteranganny proses selsai ditangani sekal tugas rating rubahyg sebelumnyperbaikansetelah keluh ditanganipenjelasanpelyanan"
"1090","lapormobile tugas nakal lapor kerja selesai tugas cobamobile laku telfon langsung langgan verifikasijaring listrik"
"1091","laportanggal april direkturpamekasan teknisi langsung temu lapang sampa mohon maaf beliau rating beliau ramah cepat puas kinerja beliaupamekasan maju maju maju terimakasih"
"1092","layan"
"1093","layan cepat"
"1094","layan ganggu cepat hasil"
"1095","layan ganggu cepat tangani terima kasih"
"1096","layan listrik mudah akses repot kantor daya lapor ganggu beli pulsa tinggal bukapilih fiturnya langkahberes info promotawarkannyata mantau listrik rumahjosss mantap pokok"
"1097","layan manfaat langsung tanggap"
"1098","layan pasang laku layan listrik tera ubah dayalayan ubah daya pasang tolong hati aplikasi terima kasih"
"1099","layan sigap cepat maturuywun"
"1100","layancepat tanggap bravo"
"1101","layangenggam daya riwayat bayar listrik beli pulsa listrik riwayat beli pulsakeluh layanmobile terima kasih"
"1102","layanlambat cepatmhn admin mogamaju"
"1103","layanlambat penanganan mohon fast respon profesionallapor minggu penanganan"
"1104","layanlangsung beres"
"1105","layanmobile gampanglanggan moga tugaslancar tugas amin"
"1106","layanmohon diupdate sinkronisasicontact centerprogres kembang"
"1107","lelet"
"1108","lelet aplikasi"
"1109","lemot ayanlaporin gangguonlinelinelemot rumah kantor"
"1110","lengkap kota kabupaten"
"1111","lengkap stand meter stand meter"
"1112","lihat histori"
"1113","lihat komen roby milda arti kinerjakeluh tumpuk konsumen bentak saran tugas suruh batal keluh ayan publik takjub konsumen bayar telat denda pasca bayar gilir keluh telat kerjadenda merdeka"
"1114","lihat rincian detail pemakaintera lunas"
"1115","lihat riwayat bayar pemakaian listrik ketemu tampilsusah"
"1116","lihat riwayat beli token capekupload"
"1117","lihat riwayat blank backgroundteks"
"1118","lihat riwayat transaksi pembayaranpembelian listrik mohon suai menu sedia terima kasih"
"1119","lihat tagih bayar pasca bayaraplikasi gagal"
"1120","lihatmonitor aplikasi"
"1121","limit simpan data langgannongolgak update nongol pelanggangak nambahnggak papayg ecek tagih"
"1122","link linkaja sempurna angkasaldo linkaja syariah berita info madam pemeliharaan jaring hilang info madam rutin"
"1123","linkaja aktif aplikasi"
"1124","linkaja aktif terima kasih coba beli token hasil biaya murah"
"1125","listri pakai token dayamemberitahukan pelangmobile madam listrik lambat manfaat pemberitahuanya madam beli token biaya bayar virtual account biaya beli kios resmimurah beli tokopedia tolong token promonya biar seru beli"
"1126","listri prabayar subsidi gratisbiyar mudah nurhaya chandracom"
"1127","listrik gratis"
"1128","listrik gratis meterlistrik april tlngbutuh listrik gratis nihplease"
"1129","listrik gudang kacateluk mulus arang limbung listrikmatimohon bantu"
"1130","listrik habis beli token gagal mulu masuksolusi selesai selesai mata"
"1131","listrik mati lrbih"
"1132","listrik mati pagi kirim pesan mati mati bayar"
"1133","listrik mati terusharixstatus laporregu penugasantapi tunggu datangpara tenishormat nyalatrus ditinggaldicari masalahnyabiar mati"
"1134","listrik matimalam malam panas kesal lari"
"1135","listrik padam bikin lapor aplikasitrus tugas regu laporlistrikselesaipadahal nyata padam listrik"
"1136","listrik padam nyalapadam token listrik gratis padam"
"1137","listrik phase data temu masuk idno meter"
"1138","listrik rumah alami gangguankdang mati sendirianjretpadahal lampuapapun nyala kirim keluhandan kali inisemoga cepat rspontrimakasih"
"1139","listrik rumah lemot chatdaerah kagak respon taee"
"1140","listrik semingu mati klinga becus urus lisrtrik"
"1141","listrik subsidi terimskasih mohon impormasinya akun tolak mohon bantuanya"
"1142","listrik terang neger"
"1143","listrik token gratis daya"
"1144","listrik token pulsapencet tombol muncul muncul sajamau ngisi pulsa kalo bunyi alarmptugastolong"
"1145","listriktoken bunyi tolong respon"
"1146","listriktp aplikasi kotak sarankeluhan"
"1147","live chat"
"1148","live chat eror jaring stabil putus mending aplikasikecewa beli token hasil kode"
"1149","live chat fungsi form chatnya menit tinggalanggap aktif ulangnyata fungsi hehemaju"
"1150","live chat respon"
"1151","live chat slow respon bikinlayan"
"1152","live chatnya tolong stabil sekal loseconeck"
"1153","login"
"1154","login daftarpiye"
"1155","login jaring bagus"
"1156","login kasih bintang kolo login kasih"
"1157","login pesan jaring error mohon bantu admin"
"1158","login tanggal aprilpagi"
"1159","logo bulatmasuk token"
"1160","lokasi bekas titik suai provinsi pasang jawa timur aplikasi payah"
"1161","lokasi jawajawa timur hadeeh pasang daftar aplikasi susah"
"1162","lost connection trsslow respon laku dayamobile fotoselfie hasil maksimal hasil gelapsy lapor bilang csubah setel izin kamera laku hasil gelapmohon solusi promo dionline langsung kantor plnnya"
"1163","love"
"1164","luarbiasa sigap tanggap fast respon langsung tindak pakai terimakasihoperator lapang sehat lancar jayasitunggalingmerekkaro salah input token mantap maaf ngerepotin terima kasih"
"1165","luas jaring link kerja mitra kerja contoh bayar pakai payfazz pilihanya tanks"
"1166","lumayan"
"1167","lumayan bagus"
"1168","lumayan bantu"
"1169","lumayan bantu amanlumayan safety"
"1170","lumayan bantu aplikasimobile mash puasterima kasihmobile"
"1171","lumayan fast respon"
"1172","lumayan membantutpi suka eror"
"1173","lumayan rumit"
"1174","lumayan update informasi perihal listrik padamnyala"
"1175","lumayancuman susah masukloading"
"1176","lumyan bantu"
"1177","maaf asih bintang asih bintang terimakasih"
"1178","maaf bantu meri laju"
"1179","maaf barubisa kasih bintag tolong pasangtitik lokasi wilayah jatim yasedangkan pasang bintan"
"1180","maaf bintang aplikasi ayan planburuk"
"1181","maaf kali downloadmobile daftar login email daftar akun google daftarloginnyatelpon mohon info terima kasih"
"1182","maaf keluh listrik menukemarin malampulsa token masuk status aplikasi proses mohon info terimakasih"
"1183","maaf listrik gratis"
"1184","maaf meter alih meter subsidi kerja buruh bangun kadangkadang terima kasih"
"1185","maaf program stimulus berlaku coba kali april muncul"
"1186","maaf subsidi pulsa grtis"
"1187","maaf token gratis pemerintah"
"1188","maafaplikasi customer servicemasak usaha kelas bumn bikin aplikasi aktraktif responsif kalah aplikasi listrik putusditangani call efektif ayan"
"1189","maafni aplikasi klaim nomor token"
"1190","maaftoken gratis suruh updateupdate susah ambil token gratis mohon"
"1191","madam"
"1192","madam ganggu potensi bakar tanggap lapang"
"1193","madam jalur listrik notif madam normal notifmati duluan"
"1194","madam listriktapi madam listrikkitar subuh siang menyalasaya kimfirmasipusat telpon nomor kasih nomor lapor sajasaya download aplikasi buka alhamdulillah listrik nyala kitar"
"1195","madam mohon pemberitahuannya langgankena madam kerjasama telkomsel operator seluler kirimpemberitahuan"
"1196","madam rumah tanggalbarusan lapang tugas terima kasih keperdulianlangganmasuk tugas teknis informasi langgan lapor masuk informasi maju"
"1197","madam tulis selesai nyala nyala tugas"
"1198","mahal benerin lampu"
"1199","maju pantang mundur layan penuh hati"
"1200","maju pantang mundur terang sabang merauke"
"1201","maju tolong tingkat kalo transaksi cetak"
"1202","makaaih"
"1203","maksutnya cobalapor meter periksa syarat ditangani download mobilepotoditangani khusus sampit kalimantan laku"
"1204","malam aplikasi eror namapelang desaterima kasih aplikasi pusing data temu terima kasih malam nama idpelangan temu padal idpel terima kasih malam"
"1205","malamtugas listrik entar malam buru mati"
"1206","manfaat"
"1207","manfaat bantu"
"1208","manfaat bantu saran bayar bank"
"1209","manfaat kegunaaya optimalsemoga manfaat bayar shopeemetode bayar barukalo kasih bintang"
"1210","manfaat moga meter gratis"
"1211","manfaat terimakasih"
"1212","mannntabb"
"1213","mantaaaaap"
"1214","mantaaaap mudah"
"1215","mantaaapp respon cepat ecek mati lampu cepatterima kasihhh"
"1216","mantab"
"1217","mantab fast respon gercep penanganannya"
"1218","mantab layan cepat daerah"
"1219","mantab okcuma sayang update"
"1220","mantab repotminimarketagenklik aplikasilistrik malu uanguangsuai jmlh tagih biaya atministrasi"
"1221","mantabklau sring mati listrikdan randublatungada stroomnetinternet biarantab"
"1222","mantablaporaplikasi langsung ditanggepin bandingcepat"
"1223","mantabmudahcepat"
"1224","mantaf"
"1225","mantap"
"1226","mantap aplikasi"
"1227","mantap aplikasi cerdas ayan cepat aplikasi terimakasih"
"1228","mantap aplikasi iring fast respondsemangatterimakasih fast respond berik langgan"
"1229","mantap aplikasigampang bangettagih bayar tagihuser interfacenya friendly banget"
"1230","mantap ayan"
"1231","mantap ayan plnnya mati lampu"
"1232","mantap ayansekarangmelakukanlistrik padam diaplikasidalam menit langsung tanggap langsung telpon konfirmasi gannguan tugas lokasi alami ganggu good"
"1233","mantap bantu"
"1234","mantap bantu masyarakat utama daerahdaerah desa semangat karyamobile andal"
"1235","mantap batu masarakat"
"1236","mantap bayar pulsa jugabiar"
"1237","mantap beli produk listrik"
"1238","mantap cepaat moga lancar"
"1239","mantap cepat ayan"
"1240","mantap cepat tanggap teknisihandal pengaduanlangsung"
"1241","mantap full"
"1242","mantap jiwa"
"1243","mantap joss"
"1244","mantap kembang teknologi upgrade hasil"
"1245","mantap kirim aplikasi ayan langgan cepat"
"1246","mantap layanmenit tugas langsung selesai aman negara"
"1247","mantap listrik mati lapor langsung tindak kasih bintang"
"1248","mantap manfaat"
"1249","mantap menu biar konsumen mudah"
"1250","mantap mudah langgan tugas sopan"
